code,description,level,revit,
Pr_35_57_11_68,Polyvinyl chloride (PVC) bristle mats,5,-2000032,
Pr_35_57_11_70,Recycled polyethylene terephthalate (PET) plastics underlays,5,-2000032,
Pr_35_57_11_72,Reed mats,5,-2000032,
Pr_35_57_11_74,Rubber crumb underlays,5,-2000032,
Pr_35_57_11_85,Synthetic grass surfaces,5,-2000032,
Pr_35_57_11_91,Tufted carpets,5,-2000032,
Pr_35_57_11_97,Wilton carpets,5,-2000032,
Pr_35_57_15,Composite surfacing and underlay products,4,-2000032,
Pr_35_57_15_40,In situ polymer shock absorption layers,5,-2000032,
Pr_35_57_15_42,Interlocking shock absorption panels,5,-2000032,
Pr_35_57_15_75,Sand enveloped shock absorption layers,5,-2000032,
Pr_35_57_15_80,Sheet format shock absorption layers,5,-2000032,
Pr_35_57_71,Resilient floor coverings,4,-2000032,
Pr_35_57_71_02,Agglomerated composition cork tiles,5,-2000032,
Pr_35_57_71_04,Agglomerated composition cork tiles with polyvinyl chloride (PVC) wearing layer,5,-2000032,
Pr_35_57_71_12,Composite sheets,5,-2000032,
Pr_35_57_71_13,Composite rubber tiles,5,-2000032,
Pr_35_57_71_14,Composite tiles,5,-2000032,
Pr_35_57_71_15,Cork linoleum (cork carpet) sheets,5,-2000032,
Pr_35_57_71_17,Cork-backed linoleum sheets,5,-2000032,
Pr_35_57_71_19,Cork-backed polyvinyl chloride (PVC) sheets,5,-2000032,
Pr_35_57_71_20,Cork-backed polyvinyl chloride (PVC) tiles,5,-2000032,
Pr_35_57_71_22,Cork sheets,5,-2000032,
Pr_35_57_71_23,Cork tiles,5,-2000032,
Pr_35_57_71_25,Ethylene propylene diene monomer (EPDM) rubber tiles,5,-2000032,
Pr_35_57_71_26,Expanded (cushioned) polyvinyl chloride (PVC) sheets,5,-2000032,
Pr_35_57_71_27,Expanded (cushioned) polyvinyl chloride (PVC) tiles,5,-2000032,
Pr_35_57_71_28,Filled fibrous-backed polyvinyl chloride (PVC) sheets,5,-2000032,
Pr_35_57_71_30,Floor surface coating resins,5,-2000032,
Pr_35_57_71_31,Foam-backed linoleum sheets,5,-2000032,
Pr_35_57_71_32,Foam-backed polyvinyl chloride (PVC) sheets,5,-2000032,
Pr_35_57_71_33,Foam-backed polyvinyl chloride (PVC) tiles,5,-2000032,
Pr_35_57_71_34,Foam-backed smooth rubber sheets,5,-2000032,
Pr_35_57_71_35,Granular rubber sheets,5,-2000032,
Pr_35_57_71_36,Granular rubber tiles,5,-2000032,
Pr_35_57_71_37,Hammered rubber tiles,5,-2000032,
Pr_35_57_71_43,Jute or polyester felt-backed polyvinyl chloride (PVC) sheets,5,-2000032,
Pr_35_57_71_44,Jute or polyester felt-backed polyvinyl chloride (PVC) tiles,5,-2000032,
Pr_35_57_71_46,Linoleum sheets,5,-2000032,
Pr_35_57_71_49,Linoleum tiles,5,-2000032,
Pr_35_57_71_60,Particle-based enhanced wet area polyvinyl chloride (PVC) sheets,5,-2000032,
Pr_35_57_71_61,Particle-based enhanced slip-resistant polyvinyl chloride (PVC) sheets,5,-2000032,
Pr_35_57_71_62,Particle-based enhanced slip-resistant polyvinyl chloride (PVC) tiles,5,-2000032,
Pr_35_57_71_67,Polyvinyl chloride (PVC) sheets,5,-2000032,
Pr_35_57_71_68,Polyvinyl chloride (PVC) tiles,5,-2000032,
Pr_35_57_71_72,Relief rubber sheets,5,-2000032,
Pr_35_57_71_73,Relief rubber tiles,5,-2000032,
Pr_35_57_71_74,Rubber mats and sheets,5,-2000032,
Pr_35_57_71_75,Rubber tiles,5,-2000032,
Pr_35_57_71_76,Semi-flexible polyvinyl chloride (PVC) tiles,5,-2000032,
Pr_35_57_71_80,Smooth rubber sheets,5,-2000032,
Pr_35_57_71_84,Smooth rubber tiles,5,-2000032,
Pr_35_57_71_86,Solid rubber sheets,5,-2000032,
Pr_35_57_71_87,Stabilizing underlays,5,-2000032,
Pr_35_90_31_26,Flexible polyvinyl chloride (PVC) stair nosings,5,-2000120,
Pr_35_90_31_27,Flexible stair coverings,5,-2000120,
Pr_35_90_31_28,Floor construction joint trims,5,-2000032,
Pr_35_90_31_29,Floor cover strips,5,-2000032,
Pr_35_90_31_30,Floor dividing strips,5,-2000032,
Pr_35_90_31_31,Floor edge trims,5,-2000032,
Pr_35_90_31_32,Floor edging strips,5,-2000032,
Pr_35_90_31_33,Floor threshold strips,5,-2000032,
Pr_35_90_31_36,Hardwood floor threshold strips,5,-2000032,
Pr_35_90_31_37,Hardwood stair trims,5,-2000120,
Pr_35_90_31_70,Radiator pipe floor covers,5,-2000032,
Pr_35_90_31_71,Raised access floor level-change trims,5,-2000032,
Pr_35_90_31_72,Raised access floor vertical edging panels,5,-2000032,
Pr_35_90_31_73,Render-grade resin coves,5,-2000120,
Pr_35_90_31_74,Rigid stair nosings,5,-2000120,
Pr_35_90_31_75,Rubber composite stair nosing inserts,5,-2000120,
Pr_35_90_31_83,Stair rods,5,-2000120,
Pr_35_90_31_84,Stair trims,5,-2000120,
Pr_35_90_31_90,Two-part floor transition strips,5,-2000032,
Pr_35_90_31_95,Wearing screed sawn-joint sealing strips,5,-2000032,
Pr_35_90_31_96,Wood-based floor threshold strips,5,-2000032,
Pr_35_90_31_97,Wood-based floor transition strips,5,-2000032,
Pr_35_90_53_72,Resin flooring strip movement joints,5,-2000032,
Pr_35_90_53_85,Sprayed monolithic coating movement joints,5,-2000032,
Pr_35_90_53_86,Strip movement joints,5,-2000032,
Pr_35_90_53_88,Timber flooring movement joints,5,-2000032,
Pr_35_90_93_07,Bitumen membrane shingle cappings,5,-2000035,
Pr_35_90_93_12,Clay tile hip fittings,5,-2000035,
Pr_35_90_93_13,Clay tile ridge fittings,5,-2000035,
Pr_35_90_93_14,Clay tile roof slope ventilation fittings,5,-2000035,
Pr_35_90_93_15,Clay tile valley fittings,5,-2000035,
Pr_35_90_93_16,Clay tile verge fittings,5,-2000035,
Pr_35_90_93_19,Concrete tile hip fittings,5,-2000035,
Pr_35_90_93_21,Concrete tile ridge fittings,5,-2000035,
Pr_35_90_93_22,Concrete tile roof slope ventilation fittings,5,-2000035,
Pr_35_90_93_23,Concrete tile valley fittings,5,-2000035,
Pr_35_90_93_24,Concrete tile verge fittings,5,-2000035,
Pr_35_90_93_26,Dentil slips,5,-2000035,
Pr_35_90_93_27,Dry fixing abutments,5,-2000035,
Pr_35_90_93_28,Dry fixing hips,5,-2000035,
Pr_35_90_93_29,Dry fixing ridges,5,-2000035,
Pr_35_90_93_30,Dry fixing verges,5,-2000035,
Pr_35_90_93_32,Fibre-cement slate hip fittings,5,-2000035,
Pr_35_90_93_33,Fibre-cement slate ridge fittings,5,-2000035,
Pr_35_90_93_34,Fibre-cement slate roof slope ventilation fittings,5,-2000035,
Pr_35_90_93_35,Fibre-cement slate verge fittings,5,-2000035,
Pr_35_90_93_51,Metal tile hip fittings,5,-2000035,
Pr_35_90_93_52,Metal tile ridge fittings,5,-2000035,
Pr_35_90_93_53,Metal tile verge fittings,5,-2000035,
Pr_35_90_93_72,Reconstituted slate roof slope ventilation fittings,5,-2000035,
Pr_35_90_93_96,Wood shake fittings,5,-2000035,
Pr_35_90_93_97,Wood shingle fittings,5,-2000035,
Pr_35_93_13,Ceiling infill units,4,-2000038,
Pr_35_93_13_13,Cement-bonded wood wool infill units,5,-2000038,
Pr_35_93_13_30,Fibre-reinforced gypsum infill units,5,-2000038,
Pr_35_93_13_51,Metal infill units,5,-2000038,
Pr_35_93_13_53,Mineral fibre infill units,5,-2000038,
Pr_35_93_13_58,Open cell infill units,5,-2000038,
Pr_35_93_13_61,Panel diffuser infill units,5,-2000038,
Pr_35_93_13_65,Profiled metal acoustic panels,5,-2000038,
Pr_35_93_13_71,Resin-bonded mineral wool infill units,5,-2000038,
Pr_35_93_13_73,Rigid urethane foam infill units,5,-2000038,
Pr_35_93_13_80,Sound attenuator infill units,5,-2000038,
Pr_35_93_13_94,Veneered wood composite infill units,5,-2000038,
Pr_40_10_57,"Notices, identification and labels",4,-2001350,
Pr_40_10_57_10,Burnt clay warning marker tiles,5,-2001350,
Pr_40_10_57_12,Cable marker tags,5,-2001350,
Pr_40_10_57_15,Concrete warning marker tiles,5,-2001350,
Pr_40_10_57_21,Door number labels,5,-2001350,
Pr_40_10_57_24,Electrical identification labels,5,-2001350,
Pr_40_10_57_26,Engraved mechanical plant and equipment identification labels,5,-2001350,
Pr_40_10_57_27,Engraved valve charts and schematics,5,-2001350,
Pr_40_10_57_28,Engraved valve identification labels,5,-2001350,
Pr_40_10_57_29,Equipment labels and warning notices,5,-2001350,
Pr_40_10_57_30,Externally illuminated emergency exit signs,5,-2001350,
Pr_40_10_57_32,Fire hydrant indicator plates,5,-2001350,
Pr_40_10_57_36,Heat shrink sleeves,5,-2001350,
Pr_40_10_57_39,Images and logos,5,-2001350,
Pr_40_10_57_40,Inclined stair lift notices,5,-2001350,
Pr_40_10_57_43,Induction loop system signs,5,-2001350,
Pr_40_10_57_50,Marker posts,5,-2001350,
Pr_40_10_57_52,Metal ductwork labels,5,-2001350,
Pr_40_10_57_56,Nail identification washers,5,-2001350,
Pr_40_10_57_60,Paper valve charts and schematics,5,-2001350,
Pr_40_10_57_61,Photoluminescent emergency signs,5,-2001350,
Pr_40_10_57_62,Photoluminescent low-mounted way-guidance lighting,5,-2001350,
Pr_40_10_57_63,Plants delivery labels,5,-2001350,
Pr_40_10_57_64,Plants permanent labels,5,-2001350,
Pr_40_10_57_65,Plastics ductwork labels,5,-2001350,
Pr_40_10_57_66,Plastics warning marker boards,5,-2001350,
Pr_40_10_57_67,Platform lift notices,5,-2001350,
Pr_40_10_57_71,Room name labels,5,-2001350,
Pr_40_10_57_72,Room number labels,5,-2001350,
Pr_40_10_57_76,Screen-printed mechanical plant and equipment identification labels,5,-2001350,
Pr_40_10_57_77,Screen-printed valve identification labels,5,-2001350,
Pr_40_10_57_78,Self-adhesive colour pipe bands,5,-2001350,
Pr_40_10_57_79,Self-adhesive plastics ductwork labels and transfers,5,-2001350,
Pr_40_10_57_86,Surveillance system signs,5,-2001350,
Pr_40_10_57_88,Telecommunications equipment and outlets labels,5,-2001350,
Pr_40_10_57_91,Underground cable marker tapes,5,-2001350,
Pr_40_10_57_96,Warning marker tapes,5,-2001350,
Pr_40_10_57_97,Warning marker tiles,5,-2001350,
Pr_40_10_57_98,Water firefighting system identification and labels,5,-2001350,
Pr_40_10_57_99,Window number labels,5,-2001350,
Pr_40_10_77,Signs and markers,4,-2001350,
Pr_40_10_77_02,‘A’ boards,5,-2001350,
Pr_40_10_77_04,Alphanumeric characters,5,-2001350,
Pr_40_10_77_05,Applied glazing details,5,-2001350,
Pr_40_10_77_06,Banner signs,5,-2001350,
Pr_40_10_77_07,Beach safety flags,5,-2001350,
Pr_40_10_77_08,Braille signs,5,-2001350,
Pr_40_10_77_11,Cabinet signs,5,-2001350,
Pr_40_10_77_20,Datum plates and markers,5,-2001350,
Pr_40_10_77_22,Designation signs,5,-2001350,
Pr_40_10_77_24,Directory signs,5,-2001350,
Pr_40_10_77_27,Evacuation signs,5,-2001350,
Pr_40_10_77_29,Fencing safety reflectors,5,-2001350,
Pr_40_10_77_30,Finger signs,5,-2001350,
Pr_40_10_77_31,Fire equipment signs,5,-2001350,
Pr_40_10_77_32,Fire escape route signs,5,-2001350,
Pr_40_10_77_36,Hazard delineators,5,-2001350,
Pr_40_10_77_37,Highway marker posts,5,-2001350,
Pr_40_10_77_38,Hoarding signs,5,-2001350,
Pr_40_10_77_42,Individual letter signs,5,-2001350,
Pr_40_10_77_46,Ladder signs,5,-2001350,
Pr_40_10_77_50,Mandatory action signs,5,-2001350,
Pr_40_10_77_52,Monolith signs,5,-2001350,
Pr_40_10_77_53,Moving signs,5,-2001350,
Pr_40_10_77_56,Nameplates,5,-2001350,
Pr_40_10_77_61,Phosphorescent way-guidance tapes,5,-2001350,
Pr_40_10_77_63,Plaques,5,-2001350,
Pr_40_10_77_64,Platform lift signs,5,-2001350,
Pr_40_10_77_66,Prohibition signs,5,-2001350,
Pr_40_10_77_69,Public access stair lift signs,5,-2001350,
Pr_40_10_77_70,Railway signs,5,-2001350,
Pr_40_10_77_72,Road traffic signs,5,-2001350,
Pr_40_10_77_74,Safety equipment signs,5,-2001350,
Pr_40_10_77_75,Safe condition signs,5,-2001350,
Pr_40_10_77_76,Safety signs,5,-2001350,
Pr_40_10_77_77,Signboards,5,-2001350,
Pr_40_10_77_79,Sliding cover signs,5,-2001350,
Pr_40_10_77_82,Stair lift signs,5,-2001350,
Pr_40_10_77_84,Street sign plates,5,-2001350,
Pr_40_10_77_85,Street signs,5,-2001350,
Pr_40_10_77_86,Survey markers,5,-2001350,
Pr_40_10_77_88,Toposcopes,5,-2001350,
Pr_40_10_77_89,Traffic cones,5,-2001350,
Pr_40_10_77_90,Traffic cylinders,5,-2001350,
Pr_40_10_77_92,Variable message signs,5,-2001350,
Pr_40_10_77_94,Verge markers,5,-2001350,
Pr_40_10_77_96,Warning markers,5,-2001350,
Pr_40_10_77_97,Warning signs,5,-2001350,
Pr_40_10_77_98,Waymarker discs,5,-2001350,
Pr_40_10_77_99,Waymarker posts,5,-2001350,
Pr_40_10_90_07,Beacons,5,-2001350,
Pr_40_10_90_10,Buoys,5,-2001350,
Pr_40_10_90_31,Fog signals,5,-2001350,
Pr_40_10_90_50,Marine traffic signals,5,-2001350,
Pr_40_10_90_56,Navigation signs,5,-2001350,
Pr_40_10_96,Wind direction indicator products,4,-2001350,
Pr_40_10_96_96,Weathervanes,5,-2001350,
Pr_40_10_96_98,Windsocks,5,-2001350,
Pr_40_20_06,Bathing fittings,4,-2001160,
Pr_40_20_06_02,Accessible baths,5,-2001160,
Pr_40_20_06_08,Baths,5,-2001160,
Pr_40_20_06_11,Bidets,5,-2001160,
Pr_40_20_06_36,Health care general baths,5,-2001160,
Pr_40_20_06_38,Hospital pattern bidets,5,-2001160,
Pr_40_20_06_79,Shower enclosures,5,-2001350,
Pr_40_20_06_83,Shower seats,5,-2001350,
Pr_40_20_06_84,Shower trays,5,-2001350,
Pr_40_20_06_99,Whirlpool baths,5,-2001160,
Pr_40_20_27,Emergency shower products,4,-2001160,
Pr_40_20_27_15,Combined emergency shower and eye-wash stations,5,-2001160,
Pr_40_20_27_28,Eye-wash fountains,5,-2001160,
Pr_40_20_27_75,Safety showers,5,-2001160,
Pr_40_20_60,Packaged sanitary fittings,4,-2001350,
Pr_40_20_60_02,Accessible WC equipment packages,5,-2001350,
Pr_40_20_60_75,Sauna room packages,5,-2001350,
Pr_40_20_60_78,Shower enclosure packages,5,-2001350,
Pr_40_20_60_85,Steam cabinet packages,5,-2001350,
Pr_40_20_60_86,Steam room packages,5,-2001350,
Pr_40_20_60_96,Wet room floor formers,5,-2001350,
Pr_40_20_76,Sanitary accessories,4,-2001350,
Pr_40_20_76_01,Adult changing units,5,-2001350,
Pr_40_20_76_02,Air fresheners,5,-2001350,
Pr_40_20_76_06,Baby changing units,5,-2001350,
Pr_40_20_76_07,Bath panels,5,-2001350,
Pr_40_20_76_82,Soap dishes,5,-2001350,
Pr_40_20_76_83,Splashbacks,5,-2001350,
Pr_40_20_76_84,Support rails,5,-2001350,
Pr_40_20_76_86,Toilet brush holders,5,-2001350,
Pr_40_20_76_88,Toilet roll holders,5,-2001350,
Pr_40_20_76_89,Toothbrush holders,5,-2001350,
Pr_40_20_76_90,Towel rails,5,-2001350,
Pr_40_20_76_91,Towel rings,5,-2001350,
Pr_40_20_76_92,Tumbler holders,5,-2001350,
Pr_40_20_76_94,Vanity units,5,-2001350,
Pr_40_20_76_98,WC pan backrests,5,-2001350,
Pr_40_20_87,Taps and water supply outlet fittings,4,-2001160,
Pr_40_20_87_03,Automatic action thermostatic mixer taps,5,-2001160,
Pr_40_20_87_07,Bath mixer taps with shower hose and hand sprays,5,-2001160,
Pr_40_20_87_08,Bath mixer taps,5,-2001160,
Pr_40_20_87_09,Bath taps,5,-2001160,
Pr_40_20_87_10,Bath thermostatic water supply sets,5,-2001160,
Pr_40_20_87_11,Bidet over-rim supply mixer taps,5,-2001160,
Pr_40_20_87_12,Bidet mixer for ascending spray taps,5,-2001160,
Pr_40_20_87_13,Bidet thermostatic mixer for over-rim taps,5,-2001160,
Pr_40_20_87_31,Foot-operated valves,5,-2001160,
Pr_40_20_87_33,Garden taps,5,-2001160,
Pr_40_20_87_35,Grip valves,5,-2001160,
Pr_40_20_87_37,High-neck pillar taps,5,-2001160,
Pr_40_20_87_43,Key-operated valves,5,-2001160,
Pr_40_20_87_49,Knee-operated valves,5,-2001160,
Pr_40_20_87_50,Lever action bib taps,5,-2001160,
Pr_40_20_87_51,Lever action high-neck pillar taps,5,-2001160,
Pr_40_20_87_55,Mixer taps,5,-2001160,
Pr_40_20_87_60,Pillar taps,5,-2001160,
Pr_40_20_87_64,Press-action self-closing bib taps,5,-2001160,
Pr_40_20_87_65,Press-action self-closing bib mixer taps,5,-2001160,
Pr_40_20_87_66,Press-action self-closing pillar taps,5,-2001160,
Pr_40_20_87_67,Press-action self-closing pillar mixer taps,5,-2001160,
Pr_40_20_87_75,Shower fittings package,5,-2001160,
Pr_40_20_87_76,Shower heads,5,-2001160,
Pr_40_20_87_77,Shower head holders,5,-2001160,
Pr_40_20_87_78,Shower manual water supply sets,5,-2001160,
Pr_40_20_87_79,Shower self-closing (emergency) valves,5,-2001160,
Pr_40_20_87_80,Shower thermostatic valves,5,-2001160,
Pr_40_20_87_81,Shower thermostatic water supply sets,5,-2001160,
Pr_40_20_87_82,Sink manual water supply sets,5,-2001160,
Pr_40_20_87_83,Sink spouts,5,-2001160,
Pr_40_20_87_84,Sink taps,5,-2001160,
Pr_40_20_87_85,Sink thermostatic water supply sets,5,-2001160,
Pr_40_20_87_87,Thermostatic mixer taps,5,-2001160,
Pr_40_20_87_89,Toilet showers,5,-2001160,
Pr_40_20_87_93,Wall-mounted bib taps,5,-2001160,
Pr_40_20_87_94,Wall-mounted lever action bib taps,5,-2001160,
Pr_40_20_87_95,Wall-mounted spray taps,5,-2001160,
Pr_40_20_87_96,Washbasin manual water supply sets,5,-2001160,
Pr_40_20_87_97,Washbasin spouts,5,-2001160,
Pr_40_20_87_98,Washbasin taps,5,-2001160,
Pr_40_20_87_99,Washbasin thermostatic water supply sets,5,-2001160,
Pr_40_20_93,Urinal and WC fittings,4,-2001160,
Pr_40_20_93_30,Floor-standing urinals,5,-2001160,
Pr_40_20_93_36,Health care macerators,5,-2001160,
Pr_40_20_93_37,Hospital pattern disposal units,5,-2001160,
Pr_40_20_93_38,Hospital pattern urinals,5,-2001160,
Pr_40_20_93_39,Hospital pattern WC pans and cisterns,5,-2001160,
Pr_40_20_93_62,Pre-plumbed installation frames,5,-2001160,
Pr_40_20_93_74,Urinal dividers,5,-2001350,
Pr_40_20_93_77,Slab urinals,5,-2001160,
Pr_40_20_93_78,Urinal cisterns,5,-2001160,
Pr_40_20_93_80,Urinal flush pipes,5,-2001160,
Pr_40_20_93_82,Wall-hung urinals,5,-2001160,
Pr_40_20_93_84,Waterless urinals,5,-2001160,
Pr_40_20_93_85,Waterless toilets,5,-2001160,
Pr_40_20_93_86,WC and washbasin combined units,5,-2001160,
Pr_40_20_93_87,WC cistern fittings,5,-2001160,
Pr_40_20_93_89,WC cisterns,5,-2001160,
Pr_40_20_93_90,WC cistern flush pipes,5,-2001160,
Pr_40_20_93_92,WC large capacity replacement cisterns,5,-2001160,
Pr_40_20_93_93,WC pan connectors,5,-2001160,
Pr_40_20_93_94,WC pans,5,-2001160,
Pr_40_20_93_95,WC seats and covers,5,-2001160,
Pr_40_20_93_96,WC squatting pans,5,-2001160,
Pr_40_20_93_97,WC suites,5,-2001160,
Pr_40_20_93_99,"WC, wash and dry combined units",5,-2001160,
Pr_40_20_96,"Washbasins, sinks and troughs",4,-2001160,
Pr_40_20_96_15,Ceramic sinks,5,-2001160,
Pr_40_20_96_17,Commercial kitchen rinsing sinks,5,-2001160,
Pr_40_20_96_18,Countertop washbasins,5,-2001160,
Pr_40_20_96_34,Healthcare clinical sinks with drainers,5,-2001160,
Pr_40_20_96_35,Healthcare clinical washbasins,5,-2001160,
Pr_40_20_96_36,Healthcare domestic service sinks,5,-2001160,
Pr_40_20_96_37,Healthcare general washbasins,5,-2001160,
Pr_40_20_96_38,Healthcare hand rinse basins,5,-2001160,
Pr_40_20_96_39,Hospital pattern plaster sinks,5,-2001160,
Pr_40_20_96_40,Hospital pattern scrub-up troughs,5,-2001160,
Pr_40_20_96_42,Integral washbasins and vanity tops,5,-2001160,
Pr_40_20_96_44,Janitorial sinks,5,-2001160,
Pr_40_20_96_45,Kitchen sinks,5,-2001160,
Pr_40_20_96_46,Laundry troughs,5,-2001160,
Pr_40_20_96_47,Laundry troughs and cabinets,5,-2001160,
Pr_40_20_96_63,Pedestal washbasins,5,-2001160,
Pr_40_20_96_70,Recessed washbasins,5,-2001160,
Pr_40_20_96_81,Sinks,5,-2001160,
Pr_40_20_96_92,Under-mounted washbasins,5,-2001160,
Pr_40_20_96_95,Wall-hung hand rinse basins,5,-2001160,
Pr_40_20_96_96,Wall-hung washbasins,5,-2001160,
Pr_40_20_96_99,Wash troughs,5,-2001160,
Pr_40_30_04,Animal housing,4,-2001350,
Pr_40_30_04_02,Animal feeding stations,5,-2001350,
Pr_40_30_04_06,Bat boxes,5,-2001350,
Pr_40_30_04_07,Bird baths,5,-2001350,
Pr_40_30_04_08,Bird boxes,5,-2001350,
Pr_40_30_04_09,Bird roosts,5,-2001350,
Pr_40_30_04_15,Columbaria,5,-2001350,
Pr_40_30_04_24,Dog kennels,5,-2001350,
Pr_40_30_04_25,Dovecotes,5,-2001350,
Pr_40_30_04_41,Insect houses,5,-2001350,
Pr_40_30_04_50,Mammal houses,5,-2001350,
Pr_40_30_04_56,Nesting baskets,5,-2001350,
Pr_40_30_04_57,Nest poles and platforms,5,-2001350,
Pr_40_30_04_70,Raptor poles,5,-2001350,
Pr_40_30_20,Curtains and screens,4,-2001350,
Pr_40_30_20_02,Acoustic curtains,5,-2001350,
Pr_40_30_20_03,Acoustic screens,5,-2001350,
Pr_40_30_20_13,Choir screens,5,-2001350,
Pr_40_30_20_38,Hospital bed screens,5,-2001350,
Pr_40_30_20_58,Organ screens,5,-2001350,
Pr_40_30_20_59,Ornamental screens,5,-2001350,
Pr_40_30_20_63,Privacy curtain supports,5,-2001350,
Pr_40_30_20_64,Privacy curtains,5,-2001350,
Pr_40_30_20_65,Privacy screens,5,-2001350,
Pr_40_30_20_67,Polyvinyl chloride (PVC) strip curtains,5,-2001350,
Pr_40_30_20_70,Recessed curtain pelmets,5,-2001350,
Pr_40_30_20_71,Relaxation screens,5,-2001350,
Pr_40_30_20_77,Shower curtain rails,5,-2001350,
Pr_40_30_20_78,Shower curtains,5,-2001350,
Pr_40_30_20_83,Stage curtain supports,5,-2001350,
Pr_40_30_20_84,Stage curtains,5,-2001350,
Pr_40_30_20_86,Surface-mounted curtain pelmets,5,-2001350,
Pr_40_30_20_96,Window curtain supports,5,-2001350,
Pr_40_30_20_97,Window curtains,5,-2001350,
Pr_40_30_21,Cycle stands and lockers,4,-2001350,
Pr_40_30_21_02,Aluminium cycle lockers,5,-2001350,
Pr_40_30_21_11,Carbon steel cycle lockers,5,-2001350,
Pr_40_30_21_12,Carbon steel cycle stands,5,-2001350,
Pr_40_30_21_13,Ceiling-mounted cycle supports,5,-2001350,
Pr_40_30_21_35,Ground-mounted cycle stands,5,-2001350,
Pr_40_30_21_36,Hardwood cycle stands,5,-2001350,
Pr_40_30_21_65,Plastics cycle lockers,5,-2001350,
Pr_40_30_21_83,Stainless steel cycle lockers,5,-2001350,
Pr_40_30_21_84,Stainless steel cycle stands,5,-2001350,
Pr_40_30_21_96,Wall-mounted cycle stands,5,-2001350,
Pr_40_30_22,Deterrents and traps,4,-2001350,
Pr_40_30_22_02,Animal deterrents,5,-2001350,
Pr_40_30_22_05,Bait stations,5,-2001350,
Pr_40_30_22_06,Bird deterrent spikes,5,-2001350,
Pr_40_30_22_11,Cage traps,5,-2001350,
Pr_40_30_22_14,Coiled wire bird deterrents,5,-2001350,
Pr_40_30_22_22,Decoy predators,5,-2001350,
Pr_40_30_22_26,Electric pulse track bird deterrents,5,-2001350,
Pr_40_30_22_30,Flight diverters,5,-2001350,
Pr_40_30_22_31,Frond bird deterrents,5,-2001350,
Pr_40_30_22_34,Guard barriers,5,-2001350,
Pr_40_30_22_38,Humane traps,5,-2001350,
Pr_40_30_22_40,Inclined surface bird deterrents,5,-2001350,
Pr_40_30_22_46,Laser bird repellers,5,-2001350,
Pr_40_30_22_48,Low tension wire bird (gull) deterrents,5,-2001350,
Pr_40_30_22_56,Non-toxic rat and mouse baits,5,-2001350,
Pr_40_30_22_60,Pheromone traps,5,-2001350,
Pr_40_30_22_64,Powered traps,5,-2001350,
Pr_40_30_22_66,Powered ultraviolet light traps,5,-2001350,
Pr_40_30_22_76,Scare eyes,5,-2001350,
Pr_40_30_22_80,Sonic deterrents,5,-2001350,
Pr_40_30_22_82,Spring traps,5,-2001350,
Pr_40_30_22_84,Sprung tension wire bird deterrents,5,-2001350,
Pr_40_30_22_87,Tactile gels and liquids deterrents,5,-2001350,
Pr_40_30_22_89,Taste and scent bird deterrents,5,-2001350,
Pr_40_30_22_92,Ultrasonic rodent repellers,5,-2001350,
Pr_40_30_22_95,Vision disturbance bird deterrents,5,-2001350,
Pr_40_30_22_96,Visual threat bird deterrents,5,-2001350,
Pr_40_30_25,Display and presentation fittings,4,-2001350,
Pr_40_30_25_03,Audible signs,5,-2001350,
Pr_40_30_25_04,Audiovisual furniture,5,-2001350,
Pr_40_30_25_13,Chalkboards,5,-2001350,
Pr_40_30_25_17,Computer-generated signs,5,-2001350,
Pr_40_30_25_21,Demountable podiums and staging,5,-2001350,
Pr_40_30_25_22,Desktop lecterns,5,-2001350,
Pr_40_30_25_23,Display screens,5,-2001350,
Pr_40_30_25_25,Dot matrix displays,5,-2001350,
Pr_40_30_25_30,Free-standing screens,5,-2001350,
Pr_40_30_25_42,Interactive whiteboards,5,-2001350,
Pr_40_30_25_46,Lecterns,5,-2001350,
Pr_40_30_25_47,Light emitting diode (LED) panels,5,-2001350,
Pr_40_30_25_48,Liquid crystal display (LCD) panels,5,-2001350,
Pr_40_30_25_50,Magnetic boards,5,-2001350,
Pr_40_30_25_55,Multimedia screens,5,-2001350,
Pr_40_30_25_58,Noticeboards,5,-2001350,
Pr_40_30_25_64,Pinboards,5,-2001350,
Pr_40_30_25_65,Plasma display screens,5,-2001350,
Pr_40_30_25_67,Projection screens,5,-2001350,
Pr_40_30_25_71,Retail display fittings,5,-2001350,
Pr_40_30_25_88,Teaching walls,5,-2001350,
Pr_40_30_25_96,Whiteboards,5,-2001350,
Pr_40_30_26,Drying lines,4,-2001350,
Pr_40_30_26_12,Ceiling-mounted clothes-drying lines,5,-2001350,
Pr_40_30_26_30,Folding wall-mounted clothes-drying lines,5,-2001350,
Pr_40_30_26_32,Free standing clothes-drying lines,5,-2001350,
Pr_40_30_26_55,Multiple line retractable clothes-drying lines,5,-2001350,
Pr_40_30_26_63,Photographic film-drying lines,5,-2001350,
Pr_40_30_26_65,Portable clothes-drying lines,5,-2001350,
Pr_40_30_26_72,Rotary clothes-drying lines,5,-2001350,
Pr_40_30_26_79,Single line retractable clothes-drying lines,5,-2001350,
Pr_40_30_28,External storage units,4,-2001350,
Pr_40_30_29,"Fitted chairs, seats and benches",4,-2000080,
Pr_40_30_29_05,Auditorium seating,5,-2000080,
Pr_40_30_29_12,Choir seating,5,-2000080,
Pr_40_30_29_13,Choir stalls,5,-2000080,
Pr_40_30_29_22,Demountable seats,5,-2000080,
Pr_40_30_29_29,Fixed seats,5,-2000080,
